source_id,source_sequence,candidate_sequence,attack_name,attack_family,seed,query_count,generation_count,runtime_seconds,valid_rdkit,constraint_pass,tanimoto_similarity,edit_distance,source_prediction,candidate_prediction,prediction_drift,signed_shift,objective_value,duplicate_proposals,failure_reason,metadata
3583,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,evolutionary_search,evolutionary,777,1,90,0.03398251533508301,True,False,1.0,0,6.238099575042725,6.238099575042725,0.0,0.0,0.0,2,,{'generation_history': []}
3602,[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],evolutionary_search,evolutionary,777,1,70,0.025116920471191406,True,False,1.0,0,6.32516622543335,6.32516622543335,0.0,0.0,0.0,7,,{'generation_history': []}
3604,[*]NC(CO)C([*])=O,[*]NC(CO)C([*])=O,evolutionary_search,evolutionary,777,1,51,0.008838176727294922,True,False,1.0,0,5.532388210296631,5.532388210296631,0.0,0.0,0.0,1,,{'generation_history': []}
3607,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,evolutionary_search,evolutionary,777,1,64,0.07677507400512695,True,False,1.0,0,4.370055198669434,4.370055198669434,0.0,0.0,0.0,2,,{'generation_history': []}
3609,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,evolutionary_search,evolutionary,777,1,55,0.04312753677368164,True,False,1.0,0,4.256508827209473,4.256508827209473,0.0,0.0,0.0,1,,{'generation_history': []}
3621,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,evolutionary_search,evolutionary,777,1,80,0.029711484909057617,True,False,1.0,0,4.676126480102539,4.676126480102539,0.0,0.0,0.0,5,,{'generation_history': []}
3623,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,evolutionary_search,evolutionary,777,1,67,0.0341181755065918,True,False,1.0,0,4.059845924377441,4.059845924377441,0.0,0.0,0.0,8,,{'generation_history': []}
3634,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,evolutionary_search,evolutionary,777,1,54,0.03438448905944824,True,False,1.0,0,4.265665054321289,4.265665054321289,0.0,0.0,0.0,2,,{'generation_history': []}
3644,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,evolutionary_search,evolutionary,777,1,78,0.0399479866027832,True,False,1.0,0,5.599942684173584,5.599942684173584,0.0,0.0,0.0,2,,{'generation_history': []}
3648,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,evolutionary_search,evolutionary,777,1,58,0.06093144416809082,True,False,1.0,0,5.499137878417969,5.499137878417969,0.0,0.0,0.0,0,,{'generation_history': []}
