source_id,source_sequence,candidate_sequence,attack_name,attack_family,seed,query_count,generation_count,runtime_seconds,valid_rdkit,constraint_pass,tanimoto_similarity,edit_distance,source_prediction,candidate_prediction,prediction_drift,signed_shift,objective_value,duplicate_proposals,failure_reason,metadata
3583,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,[*]OSCC1C(COC(C)-O)-OC([*])C(OC(C)=O)C1O,canonical_mcmc,mcmc,2026,8,0,0.03018927574157715,True,False,1.0,0,6.238099575042725,6.1558990478515625,0.08220052719116211,-0.08220052719116211,0.08220052719116211,0,,{}
3602,[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],[*]CC(CCl)(CCl)ICOC(=O)C(=O)O[*],canonical_mcmc,mcmc,2026,5,0,0.019858598709106445,True,False,1.0,0,6.32516622543335,5.794600963592529,0.5305652618408203,-0.5305652618408203,0.5305652618408203,0,,{}
3604,[*]NC(CO)C([*])=O,I[*]NC(CO)C([*])=O,canonical_mcmc,mcmc,2026,8,0,0.02732396125793457,True,False,1.0,0,5.532388210296631,5.0490007400512695,0.48338747024536133,-0.48338747024536133,0.48338747024536133,0,,{}
3607,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,[*]Oc1ccc(Cc2ccc(Cc3ncc(OPC([*])=O)cc3)cc2)cc1,canonical_mcmc,mcmc,2026,6,0,0.023064613342285156,True,False,1.0,0,4.370055198669434,4.214637756347656,0.15541744232177734,-0.15541744232177734,0.15541744232177734,0,,{}
3609,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,[*]CCCCCOc1ccc(C(=O)OC(O)c2ccc(O[*])cc2)cc1,canonical_mcmc,mcmc,2026,7,0,0.026835918426513672,True,False,1.0,0,4.256508827209473,4.453409671783447,0.1969008445739746,0.1969008445739746,0.1969008445739746,0,,{}
3621,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,[*]CCCCCCCCCNC(=O)c1cccc(C(=O)N[*][O-])c1,canonical_mcmc,mcmc,2026,8,0,0.03218388557434082,True,False,1.0,0,4.676126480102539,4.839327812194824,0.16320133209228516,0.16320133209228516,0.16320133209228516,0,,{}
3623,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,I[*]Oc1ccc(C(=O)OCCCCCCOC(=SO)c2ccc([*])cc2)cc1,canonical_mcmc,mcmc,2026,5,0,0.03152585029602051,True,False,1.0,0,4.059845924377441,3.7645387649536133,0.2953071594238281,-0.2953071594238281,0.2953071594238281,0,,{}
3634,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,[*]CCCCCCCCOI(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,canonical_mcmc,mcmc,2026,6,0,0.03470921516418457,True,False,1.0,0,4.265665054321289,4.55778694152832,0.29212188720703125,0.29212188720703125,0.29212188720703125,0,,{}
3644,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)I1C(=O)OC(C)(C)C,canonical_mcmc,mcmc,2026,9,0,0.04360198974609375,True,False,1.0,0,5.599942684173584,4.915154457092285,0.6847882270812988,-0.6847882270812988,0.6847882270812988,0,,{}
3648,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,[*]Cc1ccc(COC(=O)CCCICCC(O)O[*])cc1,canonical_mcmc,mcmc,2026,8,0,0.03885316848754883,True,False,1.0,0,5.499137878417969,5.195346355438232,0.30379152297973633,-0.30379152297973633,0.30379152297973633,0,,{}
