defense,attack,source_id,clean_source_probability_under_defense,candidate_probability_under_defense,absolute_probability_change,prediction_flip
cnn_clean,random,18666,0.6653796434402466,0.4662024974822998,0.19917714595794678,True
cnn_random_aug,random,18666,0.8777365684509277,0.7871167063713074,0.09061986207962036,False
cnn_adv_mixed,random,18666,0.2387365996837616,0.1868162304162979,0.051920369267463684,False
cnn_clean,random,3636,0.45415014028549194,0.6940415501594543,0.2398914098739624,True
cnn_random_aug,random,3636,0.3544577360153198,0.3860664665699005,0.03160873055458069,False
cnn_adv_mixed,random,3636,0.7563077807426453,0.7909827828407288,0.034675002098083496,False
cnn_clean,random,13810,0.13559195399284363,0.2765812575817108,0.1409893035888672,False
cnn_random_aug,random,13810,0.20146016776561737,0.14099161326885223,0.06046855449676514,False
cnn_adv_mixed,random,13810,0.32670822739601135,0.29866278171539307,0.028045445680618286,False
cnn_clean,random,9408,0.31289204955101013,0.4894979000091553,0.17660585045814514,False
cnn_random_aug,random,9408,0.9094688892364502,0.9315645098686218,0.02209562063217163,False
cnn_adv_mixed,random,9408,0.8251733183860779,0.7981953620910645,0.026977956295013428,False
cnn_clean,random,13312,0.8082295656204224,0.6666101813316345,0.14161938428878784,False
cnn_random_aug,random,13312,0.7825122475624084,0.8166822195053101,0.03416997194290161,False
cnn_adv_mixed,random,13312,0.3589579164981842,0.45580044388771057,0.09684252738952637,False
cnn_clean,random,13162,0.5769733190536499,0.2563369572162628,0.3206363618373871,True
cnn_random_aug,random,13162,0.7333307266235352,0.7027243971824646,0.030606329441070557,False
cnn_adv_mixed,random,13162,0.6265082955360413,0.656044065952301,0.029535770416259766,False
cnn_clean,random,9785,0.23360806703567505,0.5025387406349182,0.26893067359924316,True
cnn_random_aug,random,9785,0.26651984453201294,0.2215588092803955,0.04496103525161743,False
cnn_adv_mixed,random,9785,0.9323808550834656,0.9408429861068726,0.008462131023406982,False
cnn_clean,random,17659,0.982491672039032,0.9572281837463379,0.025263488292694092,False
cnn_random_aug,random,17659,0.6760940551757812,0.7400113940238953,0.06391733884811401,False
cnn_adv_mixed,random,17659,0.5812959671020508,0.47785452008247375,0.10344144701957703,True
cnn_clean,random,690,0.009371818043291569,0.016749532893300056,0.007377714850008488,False
cnn_random_aug,random,690,0.19495077431201935,0.2321094423532486,0.03715866804122925,False
cnn_adv_mixed,random,690,0.370707631111145,0.32792818546295166,0.04277944564819336,False
cnn_clean,random,13687,0.4804913401603699,0.21808698773384094,0.26240435242652893,False
cnn_random_aug,random,13687,0.5097997188568115,0.5991378426551819,0.08933812379837036,False
cnn_adv_mixed,random,13687,0.5363215804100037,0.3510982096195221,0.18522337079048157,True
cnn_clean,random,601,0.5267961621284485,0.2625589370727539,0.2642372250556946,True
cnn_random_aug,random,601,0.848267138004303,0.7665316462516785,0.08173549175262451,False
cnn_adv_mixed,random,601,0.8061959147453308,0.7811172008514404,0.02507871389389038,False
cnn_clean,random,13354,0.7185173034667969,0.8915717005729675,0.17305439710617065,False
cnn_random_aug,random,13354,0.27331167459487915,0.2723921537399292,0.0009195208549499512,False
cnn_adv_mixed,random,13354,0.5612719058990479,0.4837145209312439,0.07755738496780396,True
cnn_clean,random,11514,0.9064962267875671,0.8032066226005554,0.10328960418701172,False
cnn_random_aug,random,11514,0.4190210998058319,0.4314362406730652,0.012415140867233276,False
cnn_adv_mixed,random,11514,0.701517641544342,0.6798287630081177,0.021688878536224365,False
cnn_clean,random,6005,0.80347740650177,0.6525096297264099,0.1509677767753601,False
cnn_random_aug,random,6005,0.546915590763092,0.6334688663482666,0.08655327558517456,False
cnn_adv_mixed,random,6005,0.17672224342823029,0.22585643827915192,0.04913419485092163,False
cnn_clean,random,3827,0.06066436320543289,0.18752390146255493,0.12685954570770264,False
cnn_random_aug,random,3827,0.5767037272453308,0.5513845682144165,0.025319159030914307,False
cnn_adv_mixed,random,3827,0.7919050455093384,0.7253029346466064,0.06660211086273193,False
cnn_clean,random,2857,0.3556325137615204,0.4828447699546814,0.127212256193161,False
cnn_random_aug,random,2857,0.4677693545818329,0.4586516320705414,0.009117722511291504,False
cnn_adv_mixed,random,2857,0.6234806776046753,0.6370673775672913,0.013586699962615967,False
cnn_clean,random,7684,0.44395196437835693,0.6280786395072937,0.18412667512893677,True
cnn_random_aug,random,7684,0.5646631717681885,0.5279049277305603,0.036758244037628174,False
cnn_adv_mixed,random,7684,0.7214711308479309,0.717189610004425,0.004281520843505859,False
cnn_clean,random,1318,0.9236491322517395,0.8165591955184937,0.10708993673324585,False
cnn_random_aug,random,1318,0.6560011506080627,0.6334561705589294,0.0225449800491333,False
cnn_adv_mixed,random,1318,0.733298659324646,0.6442732810974121,0.08902537822723389,False
cnn_clean,random,16882,0.55266273021698,0.7895199060440063,0.23685717582702637,False
cnn_random_aug,random,16882,0.5447351932525635,0.6235325336456299,0.0787973403930664,False
cnn_adv_mixed,random,16882,0.7149285674095154,0.7555264830589294,0.04059791564941406,False
cnn_clean,random,18547,0.12544187903404236,0.23945574462413788,0.11401386559009552,False
cnn_random_aug,random,18547,0.3832095265388489,0.3626461327075958,0.020563393831253052,False
cnn_adv_mixed,random,18547,0.7107955813407898,0.7721447348594666,0.06134915351867676,False
cnn_clean,random,6959,0.9574182033538818,0.8801270723342896,0.07729113101959229,False
cnn_random_aug,random,6959,0.492910772562027,0.5084409117698669,0.015530139207839966,True
cnn_adv_mixed,random,6959,0.8325185179710388,0.8230832815170288,0.00943523645401001,False
cnn_clean,random,17052,0.4486943483352661,0.6626453995704651,0.21395105123519897,True
cnn_random_aug,random,17052,0.1999412328004837,0.2115066647529602,0.011565431952476501,False
cnn_adv_mixed,random,17052,0.7349037528038025,0.7241368293762207,0.010766923427581787,False
cnn_clean,random,19803,0.4789082109928131,0.2287830114364624,0.2501251995563507,False
cnn_random_aug,random,19803,0.7302262187004089,0.6599079966545105,0.07031822204589844,False
cnn_adv_mixed,random,19803,0.7172443270683289,0.6857744455337524,0.031469881534576416,False
cnn_clean,random,11163,0.7264100313186646,0.45948556065559387,0.2669244706630707,True
cnn_random_aug,random,11163,0.8180075883865356,0.7915366291999817,0.026470959186553955,False
cnn_adv_mixed,random,11163,0.37780171632766724,0.32024675607681274,0.05755496025085449,False
cnn_clean,random,19245,0.6423093676567078,0.873386025428772,0.2310766577720642,False
cnn_random_aug,random,19245,0.4879532754421234,0.5019091963768005,0.013955920934677124,True
cnn_adv_mixed,random,19245,0.45467105507850647,0.5220016241073608,0.06733056902885437,True
cnn_clean,random,1016,0.6643320918083191,0.41636916995048523,0.24796292185783386,True
cnn_random_aug,random,1016,0.7509323954582214,0.7664748430252075,0.015542447566986084,False
cnn_adv_mixed,random,1016,0.9219505786895752,0.8920859694480896,0.029864609241485596,False
cnn_clean,random,12164,0.6480952501296997,0.45614415407180786,0.19195109605789185,True
cnn_random_aug,random,12164,0.08149341493844986,0.08739802986383438,0.0059046149253845215,False
