source_id,source_sequence,candidate_sequence,attack_name,attack_family,seed,query_count,generation_count,runtime_seconds,valid_rdkit,constraint_pass,tanimoto_similarity,edit_distance,source_prediction,candidate_prediction,prediction_drift,signed_shift,objective_value,duplicate_proposals,failure_reason,llm_calls,llm_input_tokens,llm_output_tokens,prompt_mode,metadata
3583,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,evolutionary_search,evolutionary,777,1,259,0.07375979423522949,True,False,1.0,0,6.238099575042725,6.238099575042725,0.0,0.0,0.0,16,,0,0,0,,{'generation_history': []}
3602,[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],evolutionary_search,evolutionary,777,1,251,0.06519174575805664,True,False,1.0,0,6.32516622543335,6.32516622543335,0.0,0.0,0.0,58,,0,0,0,,{'generation_history': []}
3604,[*]NC(CO)C([*])=O,[*]NC(CO)C([*])=O,evolutionary_search,evolutionary,777,1,260,0.041043996810913086,True,False,1.0,0,5.532388210296631,5.532388210296631,0.0,0.0,0.0,126,,0,0,0,,{'generation_history': []}
3607,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,evolutionary_search,evolutionary,777,1,252,0.23307228088378906,True,False,1.0,0,4.370055198669434,4.370055198669434,0.0,0.0,0.0,40,,0,0,0,,{'generation_history': []}
3609,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,evolutionary_search,evolutionary,777,1,256,0.12208247184753418,True,False,1.0,0,4.256508827209473,4.256508827209473,0.0,0.0,0.0,23,,0,0,0,,{'generation_history': []}
3621,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,evolutionary_search,evolutionary,777,1,304,0.10441350936889648,True,False,1.0,0,4.676126480102539,4.676126480102539,0.0,0.0,0.0,25,,0,0,0,,{'generation_history': []}
3623,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,evolutionary_search,evolutionary,777,1,270,0.13491463661193848,True,False,1.0,0,4.059845924377441,4.059845924377441,0.0,0.0,0.0,39,,0,0,0,,{'generation_history': []}
3634,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,evolutionary_search,evolutionary,777,1,286,0.14797306060791016,True,False,1.0,0,4.265665054321289,4.265665054321289,0.0,0.0,0.0,25,,0,0,0,,{'generation_history': []}
3644,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,evolutionary_search,evolutionary,777,1,261,0.1632082462310791,True,False,1.0,0,5.599942684173584,5.599942684173584,0.0,0.0,0.0,51,,0,0,0,,{'generation_history': []}
3648,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,evolutionary_search,evolutionary,777,1,274,0.09455585479736328,True,False,1.0,0,5.499137878417969,5.499137878417969,0.0,0.0,0.0,61,,0,0,0,,{'generation_history': []}
3650,[*]CC(OC)C1(C)C(=O)OC(=O)C1([*])C,[*]CC(OC)C1(C)C(=O)OC(=O)C1([*])C,evolutionary_search,evolutionary,777,1,252,0.0689549446105957,True,False,1.0,0,5.9399213790893555,5.9399213790893555,0.0,0.0,0.0,20,,0,0,0,,{'generation_history': []}
3657,[*]c1ccc2c(c1)c1cc([*])ccc1n2CCC(=O)NO,[*]c1ccc2c(c1)c1cc([*])ccc1n2CCC(=O)NO,evolutionary_search,evolutionary,777,1,266,0.18772268295288086,True,False,1.0,0,3.0984621047973633,3.0984621047973633,0.0,0.0,0.0,93,,0,0,0,,{'generation_history': []}
3658,[*]CCCCOC(=O)C(OC)C(OC)C(=O)O[*],[*]CCCCOC(=O)C(OC)C(OC)C(=O)O[*],evolutionary_search,evolutionary,777,1,260,0.05369400978088379,True,False,1.0,0,6.2052154541015625,6.2052154541015625,0.0,0.0,0.0,28,,0,0,0,,{'generation_history': []}
3666,[*]CC([*])C(=O)OCCO,[*]CC([*])C(=O)OCCO,evolutionary_search,evolutionary,777,1,252,0.07021665573120117,True,False,1.0,0,6.219655990600586,6.219655990600586,0.0,0.0,0.0,100,,0,0,0,,{'generation_history': []}
