source_id,source_smiles,candidate_smiles,source_prediction_eV,candidate_prediction_eV,drift_eV,valid,independent_edit_count,string_edit_distance,atom_delta,components,site_was_aromatic,site_bonds_to_wildcard,site_element_from,site_element_to
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*NNC(=O)CCCCCCCCC(=O)N*,5.987525939941406,5.832040786743164,0.1554851531982422,True,1,3,0,1,False,1,C,N
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*NC(=O)CCCCCCCCC(=O)NO*,5.987525939941406,6.212977409362793,0.22545146942138672,True,1,4,0,1,False,1,C,O
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*NC(=O)CCCCCCCCC(=O)NS*,5.987525939941406,4.8462934494018555,1.1412324905395508,True,1,4,0,1,False,1,C,S
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*CCC(=O)CCCCCCCCC(=O)N*,5.987525939941406,6.103135108947754,0.11560916900634766,True,1,3,0,1,False,0,N,C
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*COC(=O)CCCCCCCCC(=O)N*,5.987525939941406,6.182152271270752,0.1946263313293457,True,1,3,0,1,False,0,N,O
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*CSC(=O)CCCCCCCCC(=O)N*,5.987525939941406,5.695896148681641,0.2916297912597656,True,1,3,0,1,False,0,N,S
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*CNS(=O)CCCCCCCCC(=O)N*,5.987525939941406,5.920791149139404,0.06673479080200195,True,1,3,0,1,False,0,C,S
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*CNC(=C)CCCCCCCCC(=O)N*,5.987525939941406,5.611163139343262,0.37636280059814453,True,1,3,0,1,False,0,O,C
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*CNC(=N)CCCCCCCCC(=O)N*,5.987525939941406,5.830198287963867,0.15732765197753906,True,1,3,0,1,False,0,O,N
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*CNC(=S)CCCCCCCCC(=O)N*,5.987525939941406,5.081671714782715,0.9058542251586914,True,1,3,0,1,False,0,O,S
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],*CNC(=O)NCCCCCCCC(=O)N*,5.987525939941406,5.8557820320129395,0.1317439079284668,True,1,3,0,1,False,0,C,N
