source_id,source_smiles,Q,seed,model,phase12b_candidate,phase12b_drift_eV,phase12b_queries,phase12b_token_edit_distance,phase12b_valid,v2_candidate,v2_drift_eV,v2_queries_counted,v2_string_edit_distance,v2_independent_edit_count,v2_valid,delta_drift_eV
2946,[*]CNC(=O)CCCCCCCCC(=O)N[*],10,42,GraphMPNN canonical,[*]SNC(=O)CCCCCCCCC(=O)N[*],1.1412324905395508,10,1,True,*CNC(=O)CSCCCCCCC(=O)N*,1.0204038619995117,10,3,1,True,-0.12082862854003906
2947,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,10,42,GraphMPNN canonical,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCSCC([*])=O)cc2)C(=O)OC)cc1,0.2516055107116699,10,1,True,*Oc1ccc(CC(NC(=O)CCC2=CC=S(OC(=O)CCCCCCC(*)=O)C=C2)C(=O)OC)cc1,0.6631426811218262,10,11,1,True,0.41153717041015625
2948,[*]CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(O[*])c3)c2)c1,10,42,GraphMPNN canonical,[*]CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(N[*])c3)c2)c1,0.2550692558288574,10,1,True,*CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=S)Nc3cccc(O*)c3)c2)c1,0.2765517234802246,10,3,1,True,0.021482467651367188
2949,[*]CC1CCC(COC(=O)CCCC(=O)O[*])CC1,10,42,GraphMPNN canonical,[*]CC1CCC(COC(=O)CCCC(=O)I[*])CC1,1.2558274269104004,10,1,True,*CC1CCC(COC(=O)CCCC(=O)O*)CS1,0.6992006301879883,10,3,1,True,-0.5566267967224121
2950,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],10,42,GraphMPNN canonical,[*]C(C=C1)=CC=C1I(=S)C(S2)=CC=C2O[*],1.2963809967041016,10,1,True,*Oc1ccc(C(=N)c2ccc(*)cc2)s1,0.42563676834106445,10,27,1,True,-0.8707442283630371
2951,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,10,42,GraphMPNN canonical,[*]C(=O)Nc1cccc(CC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,0.11130642890930176,2,1,True,*C(=O)Nc1cccc(NC(=O)C2=CC=C3NC(c4cccc(-c5nc6cc(*)ccc6[nH]5)c4)=NS3=C2)n1,0.5078983306884766,10,16,1,True,0.3965919017791748
2952,[*]Oc1c(Cl)cc(NC(=O)NCCCCCCNC([*])=O)cc1Cl,10,42,GraphMPNN canonical,[*]Oc1c(Cl)cc(NC(=S)NCCCCCCNC([*])=O)cc1Cl,0.5049700736999512,10,1,True,*Nc1c(Cl)cc(NC(=O)NCCCCCCNC(*)=O)cc1Cl,0.28760719299316406,10,3,1,True,-0.2173628807067871
2953,[*]CCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,10,42,GraphMPNN canonical,[*]CCCOC(=S)c1cccc(-c2cccc(C(=O)O[*])c2)c1,0.35800766944885254,10,1,True,*CCCOC(=S)c1cccc(-c2cccc(C(=O)O*)c2)c1,0.35800766944885254,10,3,1,True,0.0
2954,[*]C=C([*])c1cccc(C#C)c1,10,42,GraphMPNN canonical,[*]I=C([*])c1cccc(C#C)c1,1.5554351806640625,10,1,True,*C=S(*)c1cccc(C#C)c1,1.072434425354004,10,3,1,True,-0.4830007553100586
2955,[*]CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O[*])cc2)cc1,10,42,GraphMPNN canonical,[*]CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=S)O[*])cc2)cc1,0.39857029914855957,10,1,True,*CCCCCCCCCCOC(=O)C1=CC=S(C=Cc2ccc(C(=O)O*)cc2)C=C1,0.5785462856292725,10,11,1,True,0.1799759864807129
