source_id,source_smiles,candidate_smiles,graphmpnn_source_eV,graphmpnn_candidate_eV,graphmpnn_delta_eV,transformer_source_eV,transformer_candidate_eV,transformer_delta_eV,signed_agreement
0,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,*C#SC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,4.482829570770264,3.7934136390686035,-0.6894159317016602,5.01907205581665,4.510373592376709,-0.5086984634399414,True
1,*CC(*)C=C,*SN(*)C=S,5.693188190460205,3.574618339538574,-2.118569850921631,2.803351879119873,1.2544896602630615,-1.5488622188568115,True
2,*CC(=S)NO*,*ONS(=O)O*,4.5167927742004395,7.572003364562988,3.055210590362549,1.66664719581604,5.715719223022461,4.049072027206421,True
3,*CC(=O)CC(*)=S,*OC(=O)OC(*)=O,4.1277289390563965,7.06938362121582,2.941654682159424,3.255505084991455,5.68221378326416,2.426708698272705,True
4,*CC(=O)C(=S)C(*)=O,*CC(=O)S(=O)C(*)=O,3.604166030883789,6.189079284667969,2.5849132537841797,3.560508966445923,4.592150688171387,1.0316417217254639,True
5,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,*C#Cc1cc(C#CS2=CC(N)=C(*)C=C2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,2.682847023010254,2.326362133026123,-0.35648488998413086,2.2595632076263428,1.4199955463409424,-0.8395676612854004,True
6,*C#Cc1ccc(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])cc1,*C#Cc1ccc(C#SC2=S([N+](=O)[O-])C([N+](=O)[O-])=C(*)S2)cc1,1.931450605392456,3.0357651710510254,1.1043145656585693,1.2367634773254395,1.3536956310272217,0.11693215370178223,True
7,*C#Cc1sc(C#Cc2ccc(*)nc2)c([N+](=O)[O-])c1[N+](=O)[O-],*C#CS1=C([N+](C)=O)C([N+](=O)[O-])=C(C#Cc2ccc(*)nc2)S1,2.3184561729431152,1.099001407623291,-1.2194547653198242,1.7014062404632568,0.8086180686950684,-0.8927881717681885,True
8,*CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O*)cc2)cc1,*CCCCCCCCCCOC(=O)S1=CC=C(C=Cc2ccc(C(=O)O*)cc2)C=C1,3.9084136486053467,3.32053279876709,-0.5878808498382568,4.060239791870117,3.631267547607422,-0.4289722442626953,True
9,*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,*N=Nc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,2.770008087158203,3.5408501625061035,0.7708420753479004,3.0742321014404297,2.246279716491699,-0.8279523849487305,False
10,*CC(*)C(=O)NCCO,*SN(*)C(=S)NCCO,5.766177177429199,3.6020727157592773,-2.164104461669922,5.94351053237915,4.492677211761475,-1.4508333206176758,True
11,*CC(*)C(=O)SC(C)CC,*OC(*)S(=O)OC(C)CC,5.358880043029785,6.780570030212402,1.4216899871826172,4.89583683013916,5.960468769073486,1.0646319389343262,True
12,*OC(=O)CCSCCC(*)=O,*OC(=O)CCCCOC(*)=O,5.310904502868652,6.859470367431641,1.5485658645629883,4.803659439086914,6.110363006591797,1.3067035675048828,True
13,*CC(*)C(=O)OCCCSCC,*CC(*)S(=O)OCCCCCC,5.054882526397705,6.542758464813232,1.4878759384155273,5.79612398147583,5.366392612457275,-0.4297313690185547,False
14,*C=CC(C)C(*)C(=O)OCCCC,*C=CC(C)N(*)C(=S)OCCCC,5.500260353088379,3.3580322265625,-2.142228126525879,5.461999893188477,4.290132522583008,-1.1718673706054688,True
15,*NC(CCC(=O)OCCCC)C(*)=O,*NN(CCC(=O)OCCCC)C(*)=S,5.93048095703125,3.678664445877075,-2.251816511154175,5.463176727294922,4.960819244384766,-0.5023574829101562,True
16,*CC(*)(C#N)C(=O)OCC(C)OCC=C,*CC(*)(C#[SH])C(=S)OCC(C)OCC=C,6.093667507171631,3.888063430786133,-2.205604076385498,5.6353583335876465,4.930438041687012,-0.7049202919006348,True
17,*C(=NCCCCCC)N(*)CCCCCC,*C(=NCCCCCC)C(*)CCCCCC,4.716371059417725,5.819510459899902,1.1031394004821777,5.3699951171875,5.386016845703125,0.016021728515625,True
18,*CC#CC#CCOC(=O)CCCCC(=O)O*,*CS#SC#CCOC(=O)CCCCC(=O)O*,5.228766918182373,3.7039201259613037,-1.5248467922210693,4.678709506988525,3.499772548675537,-1.1789369583129883,True
19,*CC(CO*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC,*CC(CO*)(CS(=O)(=S)CCC)CS(=O)(=S)CCC,6.2741827964782715,4.232213020324707,-2.0419697761535645,5.5507917404174805,4.253167629241943,-1.297624111175537,True
20,*CC(C)(C)CS(*)(=O)=O,*CC(C)(C)SS(*)(=S)=S,6.232177257537842,3.531214952468872,-2.7009623050689697,5.415198802947998,2.835859775543213,-2.579339027404785,True
21,*C(F)C(*)(F)OC(F)(F)F,*N(F)S(*)(F)OS(F)(F)F,7.237398147583008,8.112994194030762,0.8755960464477539,7.718843936920166,4.665008068084717,-3.053835868835449,False
22,*CC(*)C(=O)OCCCCC,*CN(*)C(=S)OCCCCC,6.301794528961182,3.961298942565918,-2.3404955863952637,6.102109909057617,5.452236652374268,-0.6498732566833496,True
23,*CC(*)(C)C(=O)OCCCOC,*CC(*)(C)C(=S)OSCCOC,6.122353553771973,4.11259126663208,-2.0097622871398926,6.449153423309326,4.843512535095215,-1.6056408882141113,True
24,*C=CCCCCCCCCCC*,*C=CSCCCCCCCCS*,5.851002216339111,4.3664116859436035,-1.4845905303955078,5.860316276550293,3.530988931655884,-2.329327344894409,True
