source_id,source_sequence,candidate_sequence,attack_name,attack_family,seed,query_count,generation_count,runtime_seconds,valid_rdkit,constraint_pass,tanimoto_similarity,edit_distance,source_prediction,candidate_prediction,prediction_drift,signed_shift,objective_value,duplicate_proposals,failure_reason,llm_calls,llm_input_tokens,llm_output_tokens,prompt_mode,metadata
3583,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,evolutionary_search,evolutionary,123,1,276,0.0879831314086914,True,False,1.0,0,6.238099575042725,6.238099575042725,0.0,0.0,0.0,37,,0,0,0,,{'generation_history': []}
3602,[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],evolutionary_search,evolutionary,123,1,251,0.057904958724975586,True,False,1.0,0,6.32516622543335,6.32516622543335,0.0,0.0,0.0,67,,0,0,0,,{'generation_history': []}
3604,[*]NC(CO)C([*])=O,[*]NC(CO)C([*])=O,evolutionary_search,evolutionary,123,1,259,0.040038347244262695,True,False,1.0,0,5.532388210296631,5.532388210296631,0.0,0.0,0.0,144,,0,0,0,,{'generation_history': []}
3607,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,evolutionary_search,evolutionary,123,1,276,0.22944879531860352,True,False,1.0,0,4.370055198669434,4.370055198669434,0.0,0.0,0.0,74,,0,0,0,,{'generation_history': []}
3609,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,evolutionary_search,evolutionary,123,1,275,0.13776755332946777,True,False,1.0,0,4.256508827209473,4.256508827209473,0.0,0.0,0.0,67,,0,0,0,,{'generation_history': []}
3621,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,evolutionary_search,evolutionary,123,1,264,0.09463715553283691,True,False,1.0,0,4.676126480102539,4.676126480102539,0.0,0.0,0.0,51,,0,0,0,,{'generation_history': []}
3623,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,evolutionary_search,evolutionary,123,1,275,0.14191484451293945,True,False,1.0,0,4.059845924377441,4.059845924377441,0.0,0.0,0.0,31,,0,0,0,,{'generation_history': []}
3634,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,evolutionary_search,evolutionary,123,1,281,0.13970375061035156,True,False,1.0,0,4.265665054321289,4.265665054321289,0.0,0.0,0.0,32,,0,0,0,,{'generation_history': []}
3644,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,evolutionary_search,evolutionary,123,1,259,0.12916183471679688,True,False,1.0,0,5.599942684173584,5.599942684173584,0.0,0.0,0.0,36,,0,0,0,,{'generation_history': []}
3648,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,evolutionary_search,evolutionary,123,1,264,0.10674524307250977,True,False,1.0,0,5.499137878417969,5.499137878417969,0.0,0.0,0.0,51,,0,0,0,,{'generation_history': []}
