source_id,source_sequence,candidate_sequence,attack_name,attack_family,seed,query_count,generation_count,runtime_seconds,valid_rdkit,constraint_pass,tanimoto_similarity,edit_distance,source_prediction,candidate_prediction,prediction_drift,signed_shift,objective_value,duplicate_proposals,failure_reason,metadata
3583,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,evolutionary_search,evolutionary,2026,1,107,0.04078960418701172,True,False,1.0,0,6.238099575042725,6.238099575042725,0.0,0.0,0.0,0,,{'generation_history': []}
3602,[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],evolutionary_search,evolutionary,2026,1,122,0.030895471572875977,True,False,1.0,0,6.32516622543335,6.32516622543335,0.0,0.0,0.0,7,,{'generation_history': []}
3604,[*]NC(CO)C([*])=O,[*]NC(CO)C([*])=O,evolutionary_search,evolutionary,2026,1,102,0.01561427116394043,True,False,1.0,0,5.532388210296631,5.532388210296631,0.0,0.0,0.0,4,,{'generation_history': []}
3607,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,evolutionary_search,evolutionary,2026,1,100,0.1295604705810547,True,False,1.0,0,4.370055198669434,4.370055198669434,0.0,0.0,0.0,10,,{'generation_history': []}
3609,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,evolutionary_search,evolutionary,2026,1,129,0.12518572807312012,True,False,1.0,0,4.256508827209473,4.256508827209473,0.0,0.0,0.0,2,,{'generation_history': []}
3621,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,evolutionary_search,evolutionary,2026,1,112,0.05368494987487793,True,False,1.0,0,4.676126480102539,4.676126480102539,0.0,0.0,0.0,3,,{'generation_history': []}
3623,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,evolutionary_search,evolutionary,2026,1,110,0.0916445255279541,True,False,1.0,0,4.059845924377441,4.059845924377441,0.0,0.0,0.0,1,,{'generation_history': []}
3634,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,evolutionary_search,evolutionary,2026,1,134,0.10952281951904297,True,False,1.0,0,4.265665054321289,4.265665054321289,0.0,0.0,0.0,9,,{'generation_history': []}
3644,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,evolutionary_search,evolutionary,2026,1,133,0.09653997421264648,True,False,1.0,0,5.599942684173584,5.599942684173584,0.0,0.0,0.0,2,,{'generation_history': []}
3648,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,evolutionary_search,evolutionary,2026,1,116,0.05074906349182129,True,False,1.0,0,5.499137878417969,5.499137878417969,0.0,0.0,0.0,3,,{'generation_history': []}
